chr,start,end,dot,num1,dot,num2,num3,mark
chr22,19938021,19938572,.,560,.,5.485326,3.7,-1
chr22,19943085,19943670,.,504,.,4.717258,1.9,-1
chr22,19952032,19989972,.,318,.,2.164756,12.8,-1
chr22,19993686,20001428,.,302,.,1.934986,4.6,-1
chr22,20008154,20028126,.,318,.,2.164714,13.5,-1
chr22,20043495,20054289,.,303,.,1.947887,8.4,-1
chr22,20061744,20149697,.,349,.,2.580286,13.3,-1
chr22,20084977,20085088,.,1000,.,13.022546,2.1,-1
chr22,20125758,20125978,.,769,.,8.362412,2.1,-1
chr22,20126825,20127007,.,896,.,10.108410,3.0,-1
chr22,20129672,20129908,.,850,.,9.465926,4.5,-1
chr22,20159228,20170908,.,304,.,1.968890,10.0,-1
chr22,20174046,20175135,.,424,.,3.620092,2.5,-1
chr22,20207982,20221153,.,308,.,2.025366,13.2,-1
chr22,20232819,20255557,.,321,.,2.196127,13.7,-1
chr22,20284911,20286624,.,390,.,3.145232,3.5,-1
chr22,20752678,20764590,.,301,.,1.919512,9.0,-1
chr22,20770721,20829845,.,308,.,2.015903,13.0,-1
chr22,20835932,20854179,.,276,.,1.584373,4.9,-1
chr22,20855315,20950848,.,368,.,2.852867,12.5,-1
chr22,20864279,20864385,.,1000,.,13.636817,2.3,-1
chr22,20864639,20865078,.,771,.,8.381460,9.8,-1
chr22,20865209,20865440,.,989,.,11.377431,7.6,-1
chr22,20865820,20865993,.,990,.,11.393872,4.3,-1
chr22,20867436,20867538,.,1000,.,14.171594,2.4,-1
chr22,20867940,20868048,.,1000,.,13.384283,2.2,-1
chr22,20868458,20869468,.,833,.,9.237685,15.1,-1
chr22,20869561,20869774,.,834,.,9.254178,3.2,-1
chr22,20869686,20869797,.,1000,.,13.022546,2.1,-1
chr22,20898176,20898415,.,761,.,8.247447,2.6,-1
chr22,20920623,20921339,.,882,.,9.910759,15.2,-1
chr22,20920630,20921434,.,827,.,9.152888,15.0,-1
chr22,20922602,20922717,.,1000,.,12.569588,2.0,-1
chr22,20923165,20923378,.,924,.,10.488068,5.1,-1
chr22,20923776,20923900,.,1000,.,11.657279,1.7,-1
chr22,20925459,20925624,.,972,.,11.149882,3.5,-1
chr22,20926352,20926455,.,1000,.,14.034006,2.4,-1
chr22,20940759,20940862,.,1000,.,14.034006,2.4,-1
chr22,20955457,20970332,.,306,.,1.987704,13.5,-1
chr22,20975110,20985010,.,298,.,1.884861,6.1,-1
chr22,20995111,21010176,.,298,.,1.884130,11.4,-1
chr22,21012716,21028433,.,278,.,1.605306,4.2,-1
chr22,21074348,21085700,.,282,.,1.666926,3.0,-1
chr22,21079233,21085973,.,300,.,1.910699,3.1,-1
chr22,21096123,21097177,.,433,.,3.740303,2.8,-1
chr22,21103718,21104895,.,429,.,3.684374,3.4,-1
chr22,21114220,21120876,.,300,.,1.915070,3.1,-1
chr22,21126297,21146182,.,332,.,2.346005,14.1,-1
chr22,21146222,21155475,.,295,.,1.846235,4.7,-1
chr22,21158575,21159887,.,401,.,3.305265,2.3,-1
chr22,21173632,21175157,.,412,.,3.446802,4.4,-1
chr22,21187656,21204573,.,310,.,2.042954,13.4,-1
chr22,21206679,21225228,.,305,.,1.983644,13.2,-1
chr22,21232996,21244916,.,280,.,1.642617,2.9,-1
chr22,21264993,21315218,.,440,.,3.835661,12.9,-1
chr22,21284247,21284470,.,1000,.,11.785590,7.9,-1
chr22,21285266,21286141,.,915,.,10.362564,15.7,-1
chr22,21288227,21288562,.,960,.,10.983466,12.6,-1
chr22,21294356,21294597,.,1000,.,11.995872,9.4,-1
chr22,21294834,21294938,.,1000,.,15.162614,3.5,-1
chr22,21295129,21295335,.,996,.,11.482368,6.4,-1
chr22,21295442,21295721,.,1000,.,12.246030,12.4,-1
chr22,21296155,21296557,.,1000,.,12.748666,15.7,-1
chr22,21296645,21296852,.,992,.,11.426898,6.3,-1
chr22,21298049,21298309,.,1000,.,12.130092,10.9,-1
chr22,21299817,21300269,.,986,.,11.338415,15.7,-1
chr22,21300363,21300487,.,1000,.,12.717031,2.7,-1
chr22,21300668,21300877,.,893,.,10.060044,4.2,-1
chr22,21341357,21357870,.,309,.,2.029273,13.7,-1
chr22,21419598,21425439,.,305,.,1.979802,3.0,-1
chr22,21452025,21457369,.,302,.,1.942615,1.9,-1
chr22,21797244,21800503,.,466,.,4.193486,14.6,-1
chr22,21914265,21992850,.,462,.,4.138679,12.8,-1
chr22,21926047,21926354,.,1000,.,13.697389,15.4,-1
chr22,21926755,21929006,.,1000,.,12.434556,14.7,-1
chr22,21936528,21936632,.,1000,.,13.899063,2.4,-1
chr22,21997099,21998582,.,406,.,3.367198,3.7,-1
chr22,22000742,22001766,.,422,.,3.593224,1.9,-1
chr22,22024530,22025813,.,414,.,3.482398,3.1,-1
chr22,22036971,22037551,.,507,.,4.757924,1.9,-1
chr22,22047812,22058507,.,316,.,2.125649,12.8,-1
chr22,22052770,22052989,.,816,.,9.000639,3.0,-1
chr22,22052878,22053042,.,860,.,9.615316,1.5,-1
chr22,22086343,22098169,.,277,.,1.589002,1.9,-1
chr22,22099572,22229099,.,350,.,2.593145,13.2,-1
chr22,22151305,22151411,.,1000,.,13.636817,2.3,-1
chr22,22175933,22176090,.,952,.,10.881027,2.7,-1
chr22,22177915,22178031,.,1000,.,12.461229,1.9,-1
chr22,22178994,22179097,.,1000,.,15.309824,3.5,-1
chr22,22185006,22185189,.,997,.,11.489340,5.0,-1
chr22,22191285,22191416,.,964,.,11.034371,1.5,-1
chr22,22192110,22192221,.,1000,.,13.022546,2.1,-1
chr22,22270273,22279720,.,300,.,1.905693,6.0,-1
chr22,22282917,22289024,.,302,.,1.936604,2.7,-1
chr22,22311190,22357293,.,303,.,1.949634,13.9,-1
chr22,22385698,22396176,.,310,.,2.044257,10.4,-1
chr22,22488709,22511029,.,277,.,1.595516,7.3,-1
chr22,22516181,22524155,.,290,.,1.779810,2.4,-1
chr22,22536754,22537781,.,422,.,3.582727,1.9,-1
chr22,22547591,22558571,.,307,.,2.010634,10.2,-1
chr22,22672501,22673076,.,527,.,5.027835,2.7,-1
chr22,22673448,22673982,.,537,.,5.167782,2.5,-1
chr22,22681209,22687086,.,296,.,1.855874,1.5,-1
chr22,22693451,22713015,.,298,.,1.880730,13.1,-1
chr22,22715956,22722341,.,302,.,1.934609,3.0,-1
chr22,22741561,22792877,.,293,.,1.820719,13.4,-1
chr22,22816676,22821800,.,305,.,1.974730,2.0,-1
chr22,22929002,22935548,.,308,.,2.027550,4.6,-1
chr22,22950712,22964255,.,275,.,1.571905,2.4,-1
chr22,23020812,23037940,.,281,.,1.649522,6.1,-1
chr22,23048573,23058607,.,303,.,1.951364,7.6,-1
chr22,23063239,23065241,.,414,.,3.478868,7.6,-1
chr22,23077973,23084156,.,300,.,1.912799,2.5,-1
chr22,23085824,23100125,.,307,.,2.003163,13.6,-1
chr22,23101586,23118243,.,304,.,1.964395,13.6,-1
chr22,23129078,23135843,.,292,.,1.806514,1.7,-1
chr22,23139659,23146984,.,297,.,1.865743,3.1,-1
chr22,23147247,23164233,.,304,.,1.972765,13.5,-1
chr22,23177716,23179057,.,418,.,3.527767,3.7,-1
chr22,23185749,23217525,.,307,.,2.013984,12.9,-1
chr22,23219077,23232022,.,303,.,1.949061,11.0,-1
chr22,23243837,23244383,.,511,.,4.813528,1.7,-1
chr22,23248224,23256976,.,299,.,1.891862,5.0,-1
chr22,23268807,23274460,.,298,.,1.882922,1.6,-1
chr22,23270656,23310748,.,293,.,1.809287,13.3,-1
chr22,23325663,23347383,.,277,.,1.597240,7.1,-1
chr22,23349086,23359581,.,278,.,1.615227,1.6,-1
chr22,23373489,23380156,.,300,.,1.911910,3.1,-1
chr22,23386675,23479560,.,305,.,1.979239,12.5,-1
chr22,23492971,23649593,.,329,.,2.313184,12.3,-1
chr22,23529847,23530007,.,938,.,10.677008,2.6,-1
chr22,23530167,23530617,.,798,.,8.760622,11.4,-1
chr22,23552662,23552768,.,1000,.,13.636817,2.3,-1
chr22,23554558,23554763,.,814,.,8.974295,2.4,-1
chr22,23558885,23559043,.,887,.,9.980455,1.7,-1
chr22,23624200,23624450,.,696,.,7.358922,1.5,-1
chr22,23632526,23632730,.,817,.,9.018287,2.4,-1
chr22,23690898,23725595,.,280,.,1.639918,14.6,-1
chr22,23728353,23729701,.,430,.,3.704417,4.7,-1
chr22,23736462,23745413,.,304,.,1.967249,6.6,-1
chr22,23748233,23759643,.,303,.,1.957895,9.4,-1
chr22,23773667,23774172,.,540,.,5.204330,2.1,-1
chr22,23804445,23809636,.,303,.,1.949243,1.8,-1
chr22,23820183,23829961,.,298,.,1.881500,5.9,-1
chr22,23871148,23876155,.,304,.,1.968384,1.8,-1
chr22,23906406,23906948,.,514,.,4.849053,1.7,-1
chr22,23921335,23937193,.,300,.,1.905924,13.1,-1
chr22,23944664,23961257,.,308,.,2.019489,13.9,-1
chr22,23963696,23973487,.,301,.,1.919266,6.7,-1
chr22,24014217,24061327,.,321,.,2.198059,13.1,-1
chr22,24129467,24132686,.,407,.,3.388311,13.8,-1
chr22,24133032,24135508,.,435,.,3.768200,13.6,-1
chr22,24139841,24150300,.,307,.,2.010277,9.5,-1
chr22,24170875,24178334,.,297,.,1.867461,3.3,-1
chr22,24238544,24241112,.,395,.,3.223827,8.5,-1
chr22,24311691,24312681,.,509,.,4.778521,7.1,-1
chr22,24312477,24312640,.,982,.,11.286691,3.6,-1
chr22,24409473,24580264,.,324,.,2.239770,12.4,-1
chr22,24526711,24527110,.,712,.,7.574974,6.2,-1
chr22,24539190,24539444,.,763,.,8.277753,3.1,-1
chr22,24670341,24671458,.,426,.,3.646991,2.8,-1
chr22,24680652,24681728,.,516,.,4.885105,8.8,-1
chr22,24682202,24682710,.,537,.,5.173595,2.1,-1
chr22,24685132,24686829,.,510,.,4.801048,14.8,-1
chr22,24687666,24688182,.,531,.,5.093385,2.0,-1
chr22,24693517,24709878,.,336,.,2.409559,13.4,-1
chr22,24713939,24735872,.,306,.,1.989144,13.7,-1
chr22,24744870,24768647,.,291,.,1.785137,13.2,-1
chr22,24770003,24851445,.,312,.,2.078230,12.7,-1
chr22,24894732,24901731,.,295,.,1.839993,2.4,-1
chr22,24904630,24918665,.,273,.,1.535528,1.9,-1
chr22,24920594,24989641,.,312,.,2.076377,12.6,-1
chr22,24945874,24946292,.,710,.,7.545033,6.7,-1
chr22,24955409,24955664,.,798,.,8.760622,4.0,-1
chr22,24965097,24965348,.,770,.,8.376690,3.2,-1
chr22,25079692,25165887,.,301,.,1.923993,12.6,-1
chr22,25125176,25125295,.,1000,.,13.251361,2.9,-1
chr22,25129941,25130046,.,1000,.,13.766691,2.3,-1
chr22,25190664,25299332,.,296,.,1.858653,12.8,-1
chr22,25199409,25199617,.,850,.,9.476634,3.3,-1
chr22,25199635,25199843,.,804,.,8.844858,2.4,-1
chr22,25322720,25342528,.,278,.,1.605465,6.3,-1
chr22,25345360,25351536,.,294,.,1.829858,1.5,-1
chr22,25346053,25367353,.,279,.,1.616396,7.5,-1
chr22,25383642,25426775,.,297,.,1.867570,13.5,-1
chr22,25402524,25402803,.,709,.,7.536019,2.6,-1
chr22,25404788,25405097,.,749,.,8.080185,4.6,-1
chr22,25429685,25626492,.,314,.,2.100605,13.0,-1
chr22,25741284,25806886,.,322,.,2.213459,13.0,-1
chr22,25847242,25848925,.,559,.,5.465629,14.7,-1
chr22,25850809,25851378,.,514,.,4.849905,2.0,-1
chr22,25852659,25852892,.,776,.,8.459828,2.7,-1
chr22,25858343,25858492,.,931,.,10.583301,1.9,-1
chr22,25858350,25858592,.,832,.,9.231234,4.3,-1
chr22,25869051,25894646,.,289,.,1.761024,12.9,-1
chr22,25927358,25950032,.,279,.,1.628562,8.6,-1
chr22,25962790,25967840,.,303,.,1.951624,1.7,-1
chr22,26020462,26041588,.,306,.,1.990485,13.0,-1
chr22,26051486,26056558,.,304,.,1.969067,1.9,-1
chr22,26069607,26102731,.,288,.,1.741598,12.8,-1
chr22,26141233,26146454,.,304,.,1.963212,2.0,-1
chr22,26158177,26203740,.,283,.,1.675676,13.6,-1
chr22,26206213,26218610,.,278,.,1.611214,2.6,-1
chr22,26289261,26300054,.,280,.,1.631506,2.0,-1
chr22,26555591,26585422,.,287,.,1.735620,13.3,-1
chr22,26624369,26634448,.,280,.,1.642780,1.8,-1
chr22,26645449,26676563,.,276,.,1.579581,11.0,-1
chr22,26717570,26722807,.,307,.,2.007399,2.5,-1
chr22,26724533,26741987,.,303,.,1.957513,13.3,-1
chr22,26759124,26764775,.,317,.,2.139384,4.8,-1
chr22,26768411,26779674,.,296,.,1.855108,6.8,-1
chr22,26789116,26790328,.,421,.,3.577977,3.1,-1
chr22,26789162,26794198,.,303,.,1.957049,1.7,-1
chr22,26811865,26813260,.,401,.,3.297008,2.8,-1
chr22,26828180,26834511,.,301,.,1.930353,2.9,-1
chr22,26839684,26850593,.,309,.,2.035766,10.7,-1
chr22,26851916,26862208,.,307,.,2.004592,9.2,-1
chr22,26877904,26908920,.,297,.,1.868439,14.5,-1
chr22,26931524,26941691,.,278,.,1.615635,1.4,-1
chr22,26936999,26937558,.,520,.,4.936665,2.2,-1
chr22,26959492,26987301,.,289,.,1.762583,13.0,-1
chr22,26992823,27002172,.,298,.,1.883501,5.5,-1
chr22,27010422,27023295,.,306,.,1.990586,12.1,-1
chr22,27034698,27060013,.,281,.,1.645536,10.8,-1
chr22,27066361,27270443,.,297,.,1.867323,13.2,-1
chr22,27272117,27771429,.,311,.,2.069127,12.5,-1
chr22,27447791,27447921,.,1000,.,12.130092,2.5,-1
chr22,27488925,27489058,.,1000,.,11.856480,2.4,-1
chr22,27489260,27489801,.,691,.,7.287024,9.4,-1
chr22,27497630,27497862,.,779,.,8.496293,2.7,-1
chr22,27500139,27500271,.,958,.,10.950777,1.4,-1
chr22,27503357,27503458,.,1000,.,14.311907,2.5,-1
chr22,27503727,27503952,.,926,.,10.512746,5.8,-1
chr22,27666303,27666518,.,783,.,8.556886,2.2,-1
chr22,27667220,27667444,.,758,.,8.213083,2.0,-1
chr22,27772077,27798028,.,276,.,1.579889,8.5,-1
chr22,27956200,27986155,.,277,.,1.601215,11.4,-1
chr22,28010103,28018259,.,298,.,1.885102,4.3,-1
chr22,28026764,28035302,.,295,.,1.846934,4.0,-1
chr22,28053038,28054072,.,420,.,3.558473,1.8,-1
chr22,28070980,28079698,.,301,.,1.929387,5.6,-1
chr22,28119746,28138081,.,273,.,1.540933,3.8,-1
chr22,28160225,28165616,.,299,.,1.901304,1.5,-1
chr22,28170453,28204517,.,290,.,1.770693,13.8,-1
chr22,28201308,28206437,.,304,.,1.972805,2.0,-1
chr22,28217920,28324045,.,378,.,2.979231,12.9,-1
chr22,28270197,28270414,.,822,.,9.083594,3.1,-1
chr22,28270860,28271020,.,1000,.,12.319624,4.7,-1
chr22,28271101,28271305,.,958,.,10.950777,5.4,-1
chr22,28271379,28271556,.,1000,.,11.878809,5.2,-1
chr22,28273957,28274157,.,830,.,9.198653,2.5,-1
chr22,28285564,28285845,.,773,.,8.417679,4.3,-1
chr22,28298249,28298460,.,795,.,8.719102,2.3,-1
chr22,28298682,28298876,.,949,.,10.837883,4.7,-1
chr22,28299008,28299114,.,1000,.,13.636817,2.3,-1
chr22,28303194,28303297,.,1000,.,14.034006,2.4,-1
chr22,28308988,28312507,.,862,.,9.634443,14.3,-1
chr22,28313108,28313211,.,1000,.,14.034006,2.4,-1
chr22,28313947,28314068,.,1000,.,13.032330,2.8,-1
chr22,28314182,28314286,.,1000,.,13.899063,2.4,-1
chr22,28314309,28314412,.,1000,.,14.034006,2.4,-1
chr22,28339743,28435423,.,299,.,1.898074,13.1,-1
chr22,28408766,28408917,.,984,.,11.313386,2.9,-1
chr22,28415718,28415832,.,1000,.,12.679847,2.0,-1
chr22,28439259,28455755,.,310,.,2.047296,13.5,-1
chr22,28464919,28469926,.,304,.,1.968384,1.8,-1
chr22,28470245,28476637,.,297,.,1.870815,2.2,-1
chr22,28491621,28496998,.,303,.,1.955132,2.1,-1
chr22,28533080,28548860,.,278,.,1.615552,4.5,-1
chr22,28580169,28588444,.,291,.,1.794472,2.9,-1
chr22,28613578,28630082,.,277,.,1.600417,4.5,-1
chr22,28636374,28668613,.,278,.,1.605983,12.6,-1
chr22,28753538,28754659,.,408,.,3.399528,1.7,-1
chr22,28787220,28827254,.,282,.,1.670764,13.4,-1
chr22,28835982,28853338,.,277,.,1.589995,4.6,-1
chr22,28861465,28870919,.,296,.,1.862582,5.2,-1
chr22,28876510,28884845,.,297,.,1.876150,4.3,-1
chr22,28889261,28898936,.,301,.,1.928695,6.7,-1
chr22,28911507,28919373,.,287,.,1.737423,1.7,-1
chr22,28991117,28998819,.,307,.,2.013282,5.9,-1
chr22,29011419,29030672,.,276,.,1.576666,5.2,-1
chr22,29046267,29047512,.,414,.,3.483139,2.8,-1
chr22,29052018,29053079,.,422,.,3.591772,2.1,-1
chr22,29166767,29201430,.,296,.,1.857617,12.8,-1
chr22,29216745,29235339,.,272,.,1.533604,3.8,-1
chr22,29273596,29375933,.,312,.,2.071228,12.6,-1
chr22,29384334,29423257,.,281,.,1.654306,13.5,-1
chr22,29423356,29454771,.,287,.,1.731767,14.5,-1
chr22,29478022,29518853,.,283,.,1.683208,13.0,-1
chr22,29532508,29537650,.,302,.,1.942262,1.7,-1
chr22,29539264,29547469,.,293,.,1.809781,3.1,-1
chr22,29594575,29617396,.,312,.,2.072975,13.2,-1
chr22,29629049,29629561,.,534,.,5.133177,2.1,-1
chr22,29632716,29758073,.,357,.,2.691985,13.0,-1
chr22,29664853,29674427,.,736,.,7.905972,13.8,-1
chr22,29675738,29676105,.,760,.,8.235462,6.9,-1
chr22,29676521,29676623,.,1000,.,14.171594,2.4,-1
chr22,29678021,29678152,.,1000,.,12.037495,2.5,-1
chr22,29696494,29696724,.,743,.,7.998829,1.9,-1
chr22,29697884,29698087,.,961,.,11.004722,5.4,-1
chr22,29698742,29698964,.,979,.,11.246744,6.9,-1
chr22,29707686,29707895,.,801,.,8.802539,2.3,-1
chr22,29763825,29771642,.,293,.,1.815557,2.8,-1
chr22,29776027,29776403,.,746,.,8.038336,6.7,-1
chr22,29778223,29779924,.,414,.,3.476437,5.7,-1
chr22,29781788,29783119,.,427,.,3.653002,4.3,-1
chr22,29789982,29796176,.,297,.,1.866971,2.0,-1
chr22,29861833,29887221,.,304,.,1.972072,13.0,-1
chr22,29900055,29910089,.,303,.,1.951364,7.6,-1
chr22,29919921,29921859,.,398,.,3.254720,5.5,-1
chr22,29929005,29930207,.,423,.,3.607744,3.2,-1
chr22,30004475,30005919,.,393,.,3.185129,2.4,-1
chr22,30016526,30130605,.,312,.,2.082663,12.4,-1
chr22,30029426,30029550,.,1000,.,12.717031,2.7,-1
chr22,30029878,30029990,.,1000,.,14.079571,3.2,-1
chr22,30199457,30204581,.,303,.,1.949084,1.7,-1
chr22,30217600,30218344,.,534,.,5.122138,5.4,-1
chr22,30224433,30231015,.,299,.,1.896671,2.7,-1
chr22,30272937,30441629,.,310,.,2.053417,13.0,-1
chr22,30673365,30778132,.,309,.,2.029459,13.0,-1
chr22,30793583,30806201,.,309,.,2.030815,12.9,-1
chr22,30794723,30794928,.,814,.,8.974295,2.4,-1
chr22,30794810,30794942,.,1000,.,11.946302,2.5,-1
chr22,30852433,30869734,.,300,.,1.914060,14.1,-1
chr22,30876370,30895779,.,272,.,1.530141,4.0,-1
chr22,30938751,30993949,.,303,.,1.956927,13.2,-1
chr22,30961743,30961913,.,836,.,9.275952,1.4,-1
chr22,30961796,30962017,.,810,.,8.919185,3.0,-1
chr22,31039220,31040282,.,431,.,3.712128,2.7,-1
chr22,31039847,31040370,.,526,.,5.025213,1.9,-1
chr22,31097721,31098295,.,527,.,5.036594,2.7,-1
chr22,31122935,31123529,.,515,.,4.867012,2.4,-1
chr22,31193807,31203042,.,300,.,1.906751,5.8,-1
chr22,31261263,31268178,.,298,.,1.881348,2.9,-1
chr22,31317887,31356856,.,303,.,1.959219,13.3,-1
chr22,31358127,31394610,.,300,.,1.916228,14.2,-1
chr22,31471906,31510510,.,368,.,2.849176,12.8,-1
chr22,31582907,31607013,.,279,.,1.624491,9.3,-1
chr22,31618455,31637290,.,275,.,1.562819,4.6,-1
chr22,31640394,31686889,.,313,.,2.085817,13.6,-1
chr22,31666124,31666366,.,753,.,8.145206,2.5,-1
chr22,31668721,31668951,.,784,.,8.570173,2.8,-1
chr22,31720374,31743077,.,307,.,2.014291,12.9,-1
chr22,31804557,31813725,.,299,.,1.892019,5.4,-1
chr22,31818263,31853718,.,313,.,2.094099,13.8,-1
chr22,31818506,31819277,.,508,.,4.772323,4.3,-1
chr22,31857626,31858301,.,487,.,4.477651,2.2,-1
chr22,31867565,31882571,.,300,.,1.917809,12.4,-1
chr22,31900239,31900747,.,537,.,5.173595,2.1,-1
chr22,31912002,31931384,.,275,.,1.566172,5.0,-1
chr22,31979343,31985747,.,301,.,1.928869,3.0,-1
chr22,31991178,32043684,.,345,.,2.525273,13.5,-1
chr22,32030056,32030159,.,1000,.,14.034006,2.4,-1
chr22,32031828,32032052,.,801,.,8.799732,2.9,-1
chr22,32079561,32079701,.,1000,.,12.202295,3.3,-1
chr22,32085287,32085516,.,745,.,8.033758,1.9,-1
chr22,32099883,32141148,.,291,.,1.786517,13.0,-1
chr22,32174598,32175257,.,495,.,4.586365,2.3,-1
chr22,32197441,32208430,.,277,.,1.590449,1.5,-1
chr22,32213703,32219618,.,306,.,1.999466,3.3,-1
chr22,32277803,32308482,.,278,.,1.610545,12.2,-1
chr22,32318140,32328174,.,303,.,1.951364,7.6,-1
chr22,32341286,32345034,.,480,.,4.382648,14.8,-1
chr22,32345545,32354444,.,624,.,6.364470,13.6,-1
chr22,32382201,32388478,.,296,.,1.863220,2.0,-1
chr22,32411429,32422081,.,309,.,2.035537,10.4,-1
chr22,32416035,32416546,.,554,.,5.400383,2.8,-1
chr22,32416437,32416563,.,1000,.,12.515174,2.7,-1
chr22,32425653,32442191,.,307,.,2.002367,13.4,-1
chr22,32453204,32465487,.,305,.,1.979217,11.1,-1
chr22,32477296,32487790,.,303,.,1.953483,8.2,-1
chr22,32492204,32516117,.,318,.,2.165152,13.4,-1
chr22,32538454,32538665,.,795,.,8.719102,2.3,-1
chr22,32559699,32560745,.,417,.,3.517649,1.7,-1
chr22,32569434,32579668,.,303,.,1.951751,7.9,-1
chr22,32602696,32610382,.,300,.,1.914890,4.2,-1
chr22,32611869,32636210,.,311,.,2.067695,13.3,-1
chr22,32637244,32645610,.,297,.,1.869198,4.2,-1
chr22,32654294,32662220,.,290,.,1.774009,2.3,-1
chr22,32664282,32669650,.,303,.,1.958410,2.1,-1
chr22,32700083,32707754,.,296,.,1.850112,3.2,-1
chr22,32713437,32742912,.,283,.,1.671874,12.8,-1
chr22,32750237,32814786,.,284,.,1.697863,12.6,-1
chr22,32814872,32819903,.,305,.,1.985114,2.0,-1
chr22,32829124,32899811,.,306,.,1.994740,13.0,-1
chr22,32874074,32874277,.,820,.,9.062712,2.5,-1
chr22,32874895,32875261,.,736,.,7.898921,6.0,-1
chr22,32906247,32916269,.,279,.,1.625899,1.5,-1
